kodeBarang,namaBarang,supplier,kodeKategori,kodeSubkategori,kemasan,satuan,hpp,hargaJual,berat,stokToko,stokGudang,stokTotal,lokasiToko,lokasiGudang,createdAt,updatedAt
DZ01013,6.2V 1/4 Watt Zener Diode,Novatech,KD007,KS081,1/4Watt ,pcs,54,300,0,0,0,0,D4-2,D2-6,,
DZ01014,6.8V 1/4 Watt Zener Diode,Novatech,KD007,KS081,1/4Watt ,pcs,49,275,0.25,46,100,146,D4-3,D2-6,,2019-04-09 08:22:39
DZ01015,7.5V 1/4 Watt Zener Diode,Novatech,KD007,KS081,1/4Watt ,pcs,135,275,0.25,59,0,59,D4-4,D2-6,,2019-03-20 09:47:05
DZ01016,8.2V1/4 Watt Zener Diode,Novatech,KD007,KS081,1/4Watt ,pcs,135,275,0.25,50,0,50,D4-5,D2-6,,2019-02-28 02:43:22
DZ01017,9.1V 1/4 Watt Zener Diode,Novatech,KD007,KS081,1/4Watt ,pcs,54,275,0.25,73,200,273,D4-6,D2-6,,2019-07-30 02:37:06
DZ01018,10V 1/4  Watt Zener Diode,Novatech,KD007,KS081,1/4Watt ,pcs,135,275,0.25,0,0,0,D4-7,D2-6,,
DZ01019,12V 1/4 Watt Zener Diode,Novatech,KD007,KS081,1/4Watt ,pcs,76,300,0,0,0,0,D4-8,D2-6,,
DZ01020,15V 1/4 Watt Zener Diode,Novatech,KD007,KS081,1/4Watt ,pcs,120,275,0,0,10,10,D4-9,D2-6,,2019-02-26 02:39:16
DZ01021,18V 1/4 Watt Zener Diode,Novatech,KD007,KS081,1/4Watt ,pcs,135,275,0.25,142,115,257,D4-10,D2-6,,2019-07-30 02:44:33
DZ01022,20V 1/4 Watt Zener Diode,Novatech,KD007,KS081,1/4Watt ,pcs,135,275,0.25,140,200,340,D4-11,D2-6,,2019-02-28 02:44:17
DZ01023,24V 1/4Watt Zener Diode,Novatech,KD007,KS081,1/4Watt ,pcs,54,275,0.25,13,600,613,D4-12,D2-6,,2019-02-28 02:44:30
DZ01024,27V 1/4 Watt Zener Diode,Novatech,KD007,KS081,1/4Watt ,pcs,135,275,0.25,73,400,473,D4-13,D2-6,,2019-04-15 09:41:36
DZ01025,30V 1/4 Watt Zener Diode,Novatech,KD007,KS081,1/4Watt ,pcs,135,275,0.25,0,0,0,D4-14,D2-6,,
DZ02001,2.7V 1/4 Watt SMD1206 Zener Diode,Novatech,KD007,KS082,LL34,pcs,56,200,0,95,2000,2095,D4-15,D2-7,,2019-08-10 03:37:22
DZ02002,3V  1/4 Watt SMD1206 Zener Diode,Novatech,KD007,KS082,LL34,pcs,56,200,0,50,1700,1750,D4-16,D2-7,,2019-04-25 09:36:51
DZ02003,3.3V 1/4 Watt SMD1206 Zener Diode,Novatech,KD007,KS082,LL34,pcs,66,200,0,80,0,80,D4-17,D2-7,,2019-04-25 09:36:51
DZ02004,3.6V 1/4 Watt SMD1206 Zener Diode,Novatech,KD007,KS082,LL34,pcs,54,300,0,350,1446,1796,D4-18,D2-7,,2019-04-25 09:36:51
DZ02005,5V SMD1206 Zener Diode,Novatech,KD007,KS082,LL34,pcs,54,250,0,0,0,0,D4-19,D2-7,,2019-03-11 08:28:37
DZ02006,12V SMD1206 Zener Diode,Novatech,KD007,KS082,LL34,pcs,67,250,0,10,880,890,D4-20,D2-7,,2019-08-10 03:37:22
DZ03001,3.3V 1/2 Watt Zener Diode,Novatech,KD007,KS081,1/2Watt,pcs,70,350,0,300,0,300,D4-21,D2-6,,2019-09-23 06:30:54
DZ03002,8.2V 1/2 Watt Zener Diode ,Novatech,KD007,KS081,1/2 Watt,pcs,150,300,0,0,0,0,D4-22,D2-6,,
DZ03003,3.6v 1/2watt Zener Diode,Novatech,KD007,KS081,#NA,pcs,70,350,5,0,0,0,D4-24,,,
FS01001,0.5A Fuse 5mmx20mm,Novatech,KD011,KS132,5mmx20mm,pcs,225,500,1,0,0,0,K5-17,D2-2,,2019-09-02 07:33:00
FS01002,1A Fuse 5mmx20mm,Novatech,KD011,KS132,5mmx20mm,pcs,225,500,1,7,0,7,K5-18,D2-2,,2019-05-08 03:07:13
FS01003,2A Fuse 5mmx20mm,Novatech,KD011,KS132,5mmx20mm,pcs,175,500,1,38,0,38,K5-19,D2-2,,2019-03-19 08:54:46
FS01004,3A Fuse 5mmx20mm,Novatech,KD011,KS132,5mmx20mm,pcs,250,500,1,0,30,30,K5-20,D2-2,,2019-05-23 06:51:30
FS01005,4A Fuse 5mmx20mm,Novatech,KD011,KS132,5mmx20mm,pcs,152,500,1,58,0,58,K5-21,D2-2,,
FS01006,5A Fuse 5mmx20mm,Novatech,KD011,KS132,5mmx20mm,pcs,175,500,1,78,0,78,K5-22,D2-2,,2019-09-23 06:30:54
FS01007,10A Fuse 5mmx20mm,Novatech,KD011,KS132,5mmx20mm,pcs,250,500,1,1,0,1,K5-23,D2-2,,2019-07-31 03:46:38
FSHL001,Fuse Holder,Duta Sonic,KD002,KS056,#NA,pcs,1220,1800,7,906,0,906,K5-24,D2-2,,2019-07-30 02:38:52
FSHL002,Fuse Holder PCB for 5mmx20mm Fuse,Novatech,KD002,KS056,5mmx20mm,pcs,825,1500,3,7,0,7,L2-1,D2-2,,2019-08-05 06:24:33
FUNC001,PL2303 USB to TTL,Novatech,KD012,KS098,#NA,pcs,9500,17500,6,4,0,4,M5-6,B1-6,,2019-09-16 08:15:07
FUNC002,HC-06,Novatech,KD012,KS099,#NA,pcs,48889,65000,2,0,0,0,O3-1,B1-2,,
FUNC003,Skylab SKM 53,Novatech,KD012,KS100,#NA,pcs,194281,320000,9,0,0,0,M1-13,B1-2,,
FUNC004,GlobalSat ET-314,Novatech,KD012,KS100,#NA,pcs,117250,175000,5,7,0,7,M5-12,B1-2,,
FUNC005,3-Axis Gyro MPU6050,Novatech,KD012,KS101,#NA,pcs,18400,45000,3,3,0,3,M3-15,B1-4,,2019-02-20 06:05:00
FUNC006,RC522A RFID Module,Novatech,KD012,KS102,#NA,pcs,20950,35000,7,0,3,3,M3-16,B1-4,,2019-07-17 05:55:16
FUNC007,13.56MHZ RFID White Card,Novatech,KD012,KS102,#NA,pcs,1620,5000,2,24,0,24,M3-17,B3-7,,2019-07-01 07:47:09
FUNC008,SFE 4 Channel 5 Volt Relay Module,Novatech,KD012,KS103,#NA,pcs,82500,82500,90,0,0,0,ALPHA-A11,,,
FUNC009,BMP085 I2C Digital Barometric,Novatech,KD012,KS104,#NA,pcs,127450,175000,2,0,0,0,M2-2,B1-4,,
FUNC010,USB to RS-232 DB9 ,Novatech,KD012,KS105,#NA,pcs,24775,35000,74,0,0,0,L1-2,B1-6,,
FUNC011,USB To RS485 Converter Adapter ,Novatech,KD012,KS106,#NA,pcs,104100,225000,200,0,0,0,#NA,B1-6,,
FUNC012,Non-Latching 150m-4channel RF Tx & Rx,Novatech,KD012,KS107,#NA,pcs,36545,75000,37,5,0,5,M5-9,B1-6,,2019-04-27 05:59:46
FUNC013,NRF905 Wireless Transmission Module,Novatech,KD012,KS107,#NA,pcs,58425,90000,10,0,0,0,M3-7,B1-6,,
FUNC014,315M Supergeneration Wireless Tx & Rx,Novatech,KD012,KS107,#NA,pcs,11562,30000,5,8,15,23,M3-9,B1-6,,2019-02-26 02:41:26
FUNC016,3-Axis TB6560 CNC Driver,Novatech,KD012,KS109,#NA,pcs,445945,750000,500,0,0,0,#NA,B1-6,,
FUNC017,DC to DC Stepdown 4.5-24V to 0.93-20V,Novatech,KD012,KS110,#NA,pcs,53900,85000,20,10,0,10,M6-2,B1-7,,2019-04-15 03:35:24
FUNC018,Xbee 1mW,Novatech,KD012,KS111,#NA,pcs,295963,450000,4,0,0,0,M3-1,B1-1,,
FUNC020,125Khz RFID White Card,Novatech,KD012,KS102,#NA,pcs,1948,5000,2,74,0,74,M3-19,B3-7,,2019-03-02 05:30:39
FUNC021,Digital AC 0-600V Voltmeter ,Novatech,KD012,KS112,#NA,pcs,44100,85000,73,0,0,0,L3-1,B1-7,,
FUNC022,HC-05 Bluetooth Module,Novatech,KD012,KS099,#NA,pcs,40000,100000,2,0,0,0,O3-2,B1-2,,
FUNC023,USB to 25 Pin Parallel IEEE 1284 Printer Adapter,Novatech,KD012,KS113,#NA,pcs,21928,45000,10,1,6,7,L2-3,F6-4,,2019-03-28 09:21:41
FUNC024,3.3V/5V MB102 Breadboard Power Supply,Novatech,KD012,KS114,#NA,pcs,25275,15000,11,0,0,0,M6-1,B1-6,,
FUNC025,WTV020-SD-16P MP3 Voice Module,Novatech,KD012,KS115,#NA,pcs,36092,65000,3,0,0,0,M5-11,B1-6,,
FUNC026,LM2577 DC-DC Step Up Converter 3-30V to 4-35V,Novatech,KD012,KS110,#NA,pcs,27383,35000,10,0,0,0,M6-5,B1-7,,
FUNC027,LM2596 DC-DC Step Down Converter,Novatech,KD012,KS110,#NA,pcs,8634,17500,10,4,0,4,M6-4,B1-7,,2019-08-21 07:51:12
FUNC029,TF-M2 LED Display Controller,Novatech,KD012,KS116,#NA,pcs,205044,250000,45,2,6,8,L2-4,C1-3,,2019-02-20 03:43:37
FUNC030,DC Motor Speed Controller,Novatech,KD012,KS117,#NA,pcs,140314,250000,135,0,7,7,L3-4,B1-7,,2019-07-09 07:18:24
FUNC031,Digital LCD AC 80V-300V 100A Voltmeter Amperemeter,Novatech,KD012,KS112,#NA,pcs,112820,185000,75,1,2,3,L3-1,B1-7,,
FUNC032,Digital DC 0-100V 10A Voltmeter Amperemeter,Novatech,KD012,KS112,#NA,pcs,43300,100000,25,0,0,0,#NA,B1-7,,
FUNC033,Digital LCD AC 80V-300V 0-50A Voltmeter Amperemeter,Novatech,KD012,KS112,#NA,pcs,85935,150000,75,0,13,13,L3-1,B1-7,,2019-05-21 02:59:00
FUNC034,Xbee USB Adapter,Novatech,KD012,KS111,#NA,pcs,99215,200000,7,1,0,1,M3-11,B1-4,,
FUNC037,TCRT5000 Module,Novatech,KD012,KS119,#NA,pcs,10000,20000,2,0,0,0,M6-6,B1-4,,
FUNC038,New ov7670 Camera Module,Novatech,KD012,KS120,#NA,pcs,56287,100000,12,0,0,0,M6-7,B1-6,,
FUNC039,ISD1820 Voice Module,Novatech,KD012,KS115,#NA,pcs,38382,45000,10,0,28,28,M5-13,B1-6,,2019-02-20 03:44:44
FUNC042,RFID 125khz RDM6300,Novatech,KD012,KS102,#NA,pcs,47000,70000,10,0,0,0,M3-18,B1-4,,
FUNC043,Xbee 2mW Wire Antenna,Novatech,KD012,KS111,#NA,pcs,325287,450000,6,0,0,0,M3-2,,,
FUNC045,FTDI Basic Breakout 3.3V/5V,Novatech,KD012,KS098,#NA,pcs,27900,40000,5,0,0,0,M6-14,B1-6,,
FUNC046,RTC I2C DS1307 Module,Novatech,KD012,KS123,#NA,pcs,6875,17500,3,2,0,2,M2-3,B1-6,,2019-09-02 06:01:40
FUNC047,SIM900 GSM/GPRS Minimum System Module,Novatech,KD012,KS108,#NA,pcs,367550,550000,40,0,0,0,#NA,,,
FUNC048,HC-05 Bluetooth serial master slave,Novatech,KD012,KS099,#NA,pcs,46000,70000,5,1,0,1,M3-6,B1-2,,2019-09-03 02:12:11
FUNC049,TF-AU Led Display Controller,Novatech,KD012,KS116,#NA,pcs,110027,200000,7,0,0,0,L1-1,C1-3,,
FUNC053,XL6009 DC-DC StepUp Module,Novatech,KD012,KS110,#NA,pcs,12757,21500,12,3,0,3,M6-3,B1-6,,2019-08-27 02:18:38
FUNC054,CP2102 USB to TTL Module,Novatech,KD012,KS098,#NA,pcs,20000,35000,4,0,0,0,M5-7,B1-6,,
FUNC055,nRF24L01 Module,Novatech,KD012,KS107,#NA,pcs,10700,21500,6,0,0,0,M3-8,B1-2,,2019-08-28 01:54:53
FUNC056,X6 RGB Led Display Controller,Novatech,KD012,KS116,#NA,pcs,267000,550000,70,2,14,16,L1-1,C1-3,,2019-02-20 03:45:09
FUNC057,TF-A2 Led Display Controller,Novatech,KD012,KS116,#NA,pcs,146214,250000,40,1,8,9,L1-1,C1-3,,2019-02-20 03:45:20
FUNC058,W5100 Ethernet Network Module,Novatech,KD012,KS125,#NA,pcs,99388,100000,17,0,0,0,M3-12,B1-6,,
FUNC059,SD/Micro-SD Card Breakout Module,Novatech,KD012,KS126,#NA,pcs,9000,25000,9,0,0,0,M3-13,B1-6,,
FUNC060,ENC28J60 Ethernet Module,Novatech,KD012,KS125,#NA,pcs,42300,75000,14,1,0,1,M1-14,B1-6,,
FUNC063,I2C Interface LCD1602 2004 LCD adapter,Novatech,KD012,KS130,#NA,pcs,8700,15000,6,8,0,8,M2-4,B1-6,,2019-09-23 07:50:18
FUNC064,Voice recognize module,Novatech,KD012,KS115,#NA,pcs,283674,450000,19,2,0,2,M7-1,B1-6,,
FUNC067,Digital AC 80-300V 100A Voltmeter Amperemeter ,Novatech,KD012,KS112,#NA,pcs,112581,190000,65,1,3,4,L3-1,B1-7,,
FUNC068,LSM303 Breakout Board - Tilt Compensated Compass,Novatech,KD012,KS121,#NA,pcs,138353,320000,2,5,0,5,M5-10,B1-7,,
FUNC069,M1306B Q2406B Wavecom Modem ,Novatech,KD012,KS108,#NA,pcs,367000,450000,246,0,1,1,L1-2,,,2019-02-20 03:45:49
FUNC072,TX/RX Wifi Bee Module,,KD012,KS107,na,pcs,0,500000,0,0,0,0,#NA,B1-6,,
FUNC073,ESP-8266 Wireles Module,Novatech,KD012,KS107,NA,pcs,28000,42000,2,0,0,0,M7-9,B1-6,,
FUNC075,SIM900a mini GSM GPRS Wireles Data Module,Novatech,KD012,KS118,#NA,pcs ,159602,420000,30,0,0,0,M4-11,B1-6,,
FUNC077,Relay 12V 8 pin Omron,iSee,,,#NA,pcs,0,0,50,0,0,0,,,,
FUNC078,SFE 8 Channel 5 Volt Relay Module,Novatech,KD012,KS103,#NA,pcs,143000,143000,150,0,0,0,ALPHA-A11,,,2019-03-30 06:06:39
FUNC079,USB to RS485 Adapter,Novatech,KD012,KS106,#NA,pc,17500,40000,20,1,0,1,J1-25,F5-1,,
FUNC081,TTL to RS485,Novatech,KD012,KS106,#NA,pcs,25000,35000,20,0,0,0,L1-3,B1-6,,
FUNC082,SFE 1 Channel 5 Volt Relay Module,Novatech,KD012,KS103,#NA,pcs,30000,28000,20,4,0,4,ALPHA-A11,,,2019-09-09 09:52:48
FUNC083,SFE DMD Connector,Novatech,KD012,KS116,#NA,pcs,15000,18500,5,0,5,5,K3-20,ALPHA-A3,,2019-07-26 06:36:49
FUNC084,SFE HUB 08 to 75,Novatech,KD012,KS116,#NA,pcs,25000,25000,10,-1,0,-1,ALPHA-A4,ALPHA-A4,,2019-02-15 08:13:22
FUNC085,SFE Current Break Module,Novatech,KD012,KS313,#NA,pcs,175000,175000,5,0,0,0,ALPHA-A3,ALPHA-A3,,
FUNC086,SFE Bluetooth Controller + HC-05 Bluetooth Module,Novatech,KD012,KS099,#NA,pcs,275000,275000,100,7,0,7,ALPHA-A6,,,
FUNC087,Node MCU ESP8266 LOLIN CH-340,Novatech,KD012,KS107,#NA,pcs,41500,85000,50,0,0,0,M5-14,,,2019-04-09 02:24:06
FUNC089,SFE 7 Segment Shift Register,Novatech,KD012,KS131,#NA,pcs,35000,35000,50,2,0,2,ALPHA-A1,ALPHA-A1,,2019-06-19 06:45:42
FUNC090,SFE Level Converter 8 Channel,Novatech,KD012,KS131,#NA,pcs,40000,40000,50,25,0,25,ALPHA-A4,ALPHA-A4,,
FUNC091,SFE 4Ch Multifunction Remote,Novatech,KD012,KS107,#NA,Pcs,395000,395000,150,0,1,1,ALPHA-A10,ALPHA-A10,,
FUNC092,SFE 8 Digit 7 Segmen Max7219,Novatech,KD012,KS131,#na,pcs,0,60000,50,0,0,0,ALPHA-A3,ALPHA-A3,,
FUNC093,SFE RTC DS1307 DIP,Novatech,KD012,KS123,#NA,pcs,25000,25000,0,0,0,0,ALPHA-A11,ALPHA-A11,,
FUNC094,SFE INA125,Novatech,KD012,KS313,#NA,pcs,0,135000,30,0,0,0,ALPHA-A10,ALPHA-A10,,2019-01-28 08:43:26
FUNC095,SFE 1 Channel Relay Single Modul ,Novatech,KD012,KS103,#na,pcs,0,30000,30,0,0,0,ALPHA-A11,,,2019-08-30 09:22:39
FUNC096,SFE 2 Channel Single Relay Module ,Novatech,KD012,KS103,#na,pcs,0,47500,30,0,0,0,ALPHA-A11,,,
FUNC097,4Channel Relay Module 5v WITH Optocoupler,Novatech,KD012,KS103,na,pcs,27850,62000,80,0,2,2,M7-8,ALPHA-11,,2019-09-23 05:03:04
FUNC098,2Channel Relay Module 5v WITH Optocoupler,Novatech,KD012,KS103,na,PCS,13300,39500,30,1,0,1,M6-16,,,2019-08-30 02:19:58
FUNC099,1Channel Relay Module 5v,Novatech,KD012,KS103,NA,pcs,7500,28000,20,0,0,0,M6-17,ALPHA-11,,2019-08-31 02:10:12
FUNC100,SFE Level Converter 4 Channel,Novatech,KD012,KS131,#NA,pcs,25000,25000,40,12,0,12,ALPHA-A4,ALPHA-A4,,
FUNC101,SFE LCD Module,Novatech,KD012,KS131,#NA,pcs,15000,15000,30,12,0,12,ALPHA-A7,ALPHA-A7,,
FUNC102,SFE Button Module,Novatech,KD012,KS131,#NA,pcs,17500,17500,30,4,0,4,ALPHA-A9,ALPHA-A9,,
FUNC103,SFE Dot matrix MAX7219,Novatech,KD012,KS131,#NA,pcs,47500,47500,40,18,0,18,ALPHA-A10,ALPHA-A10,,
FUNC104,SFE Driver Stepper ULN,Novatech,KD012,KS131,#NA,pcs,35000,35000,30,10,0,10,ALPHA-A10,ALPHA-A10,,2019-07-15 04:37:12
FUNC105,SFE Driver Stepper L293D,Novatech,KD012,KS131,#NA,pcs,42500,42500,30,0,0,0,ALPHA-A3,ALPHA-A3,,
FUNC107,SFE Driver Motor L293D,Novatech,KD012,KS131,#NA,pcs,42500,42500,30,0,0,0,ALPHA-A9,ALPHA-A9,,
FUNC108,SFE Mux Breakout,Novatech,KD012,KS131,#NA,pcs,30000,30000,25,2,0,2,ALPHA-A11,ALPHA-A11,,
FUNC109,SFE LCD Module 3 Wire,Novatech,KD012,KS131,#NA,pcs,35000,35000,30,0,1,1,ALPHA-A9,ALPHA-A9,,
FUNC110,SFE LED 8 Modul ,Novatech,KD012,KS131,#NA,pcs,15000,15000,25,21,0,21,ALPHA-A3,ALPHA-A3,,
FUNC111,MP3 Player TF Card Module,Novatech,KD012,KS126,#NA,PCS,32400,47500,15,0,0,0,,B1-6,,
FUNC112,RDA5807 Stereo Radio Module ,Novatech,KD012,KS315,#NA ,pcs,12900,25000,5,0,0,0,,,,
FUNC113,TP4056 1A 5V Module,Novatech,KD012,KS314,#NA,pcs,3750,9000,5,0,0,0,,B1-6,,
FUNC114,HX711 Weighing Sensor Module ,Novatech,KD012,KS313,#NA,pcs,12300,35000,5,1,0,1,M2-7,,,2019-08-15 02:44:58
FUNC115,TTP223 Touch Sensor Module,Novatech,KD012,KS313,#NA,pcs,10900,18500,5,0,0,0,,B1-6,,
FUNC116,Ublox Neo 6M For Arduino Raspberry ,Novatech,KD012,KS100,#NA,pcs,140000,196000,20,0,0,0,,B1-6,,
FUNC117,Ublox NEO-6M With Flight Control For Arduino ,Novatech,KD012,KS100,#NA,Pcs,82500,140000,20,1,0,1,,B1-6,,2019-08-02 07:11:21
FUNC118,SIM800L V.2 Upgrade Arduino GSM GPRS Module,Novatech,KD012,KS108,#NA,pcs,135500,198000,15,0,0,0,M3-3,B1-6,,
FUNC119,SFE RGB DMD Connector Arduino Shield,Novatech,KD012,KS131,#NA,pcs,37500,45000,10,0,1,1,ALPHA-A5,ALPHA-A5,,2019-08-28 03:16:16
FUNC120,ADXL 345 Accelometer,Novatech,KD012,KS118,#NA,Pcs,24000,55000,10,0,0,0,M6-8,B1-6,,
FUNC121,SFE RDA5807 Breakout Module,Novatech,KD012,KS126,#NA,pcs,65000,65000,5,0,0,0,ALPHA-A10,ALPHA-A10,,
FUNC122,ESP8266-12E Wireless Module,Novatech,KD012,KS107,#NA,pcs,35000,70000,10,0,0,0,M0-1,,,
FUNC123,ZMPT101B Sensor Tegangan AC 110-250 Sensor Trafo ,Novatech,KD012,KS313,Sensor,pcs,85000,150000,0,0,0,0,,,,
FUNC124,Voltage Sensor Module,Novatech,KD012,KS313,#NA,10,11868,22000,5,0,0,0,M3-11,B1-6,,
FUNC125,Mini MP3 Player Module TF Card,Ali Express,KD012,KS115,#NA,5,15868,30000,5,0,0,0,,B1-6,,
FUNC126,NE555+CD4017 Light Water Flowing Module,Ali Express,KD012,KS131,#NA,10,8000,15000,5,0,0,0,,B1-7,,
FUNC127,SFE Bluetooth Controller,Novatech,KD012,KS099,#NA,pcs,0,0,100,0,0,0,,,,
FUNC128,Serial ( TTL UART ) To RS485,Novatech,KD012,KS319,#NA ,pcs ,9900,15000,50,0,0,0,#NA,#NA,,
FUNC129,ESP12-E WIFI Module Serial For Arduino ,Arfa Arduino Robot ,KD012,KS107,#NA,PCS ,41000,55000,50,0,0,0,#NA,#NA,,
FUNC130,DF Player MP3 Player,Novatech,KD012,KS115,#NA,pcs,32900,50000,50,0,0,0,,,,
FUNC131,SD MMC Card Module ,Novatech,KD012,KS126,#NA,pcs,15000,22500,75,0,0,0,M5-03,,,
FUNC132,AT24C256 EEprom Data Storage Module ,Novatech,KD012,KS126,#NA,pcs,18500,28000,50,0,0,0,,,,
FUNC133,1Channel Relay Module 12V,Novatech,KD012,KS103,#NA,pcs ,8500,30000,100,2,0,2,M6-2,,,2019-08-24 03:49:24
FUNC134,3.3V 5V TXS0108E Module 8 Channel Logic  Level Converter TTL ,Novatech,KD012,KS131,#NA,pcs ,14000,21000,50,0,0,0,,,,
FUNC135,I2C RTC DS3231 Modul + Baterai,Novatech,KD012,KS123,#NA,pcs,19900,35000,75,2,0,2,M7-14,,,2019-09-03 02:06:31
FUNC136,ESP32 Dev-Kit Dual Core Wifi Arduino ESP8266,Novatech,KD012,KS107,#NA,pcs ,0,0,75,0,0,0,,,,
FUNC137,LDR Module ,Novatech,KD016,KS234,#NA ,pcs ,11000,22500,60,0,0,0,M7-7,,,
FUNC138,NRF24L01 2.4GHz Long Distance 1.1Km Wireles Tranciever,Novatech,KD012,KS107,#NA,pcs,38000,65000,75,0,0,0,M7-7,,,
FUNC139,Mini LM2596 MP2307 Mini360 DC Buck STEP DOWN Module,Novatech,KD012,KS110,#NA,pcs,6500,12500,40,0,0,0,M2-5,,,
FUNC140,Raindrop Detection Sensor ,Novatech,KD016,KS320,#NA,pcs,9300,24500,35,3,0,3,M6-8,,,2019-07-06 04:08:08
FUNC141,Lora Ra-01 SX1278 433Mhz 10km range AI Thinker Tranceiver,Microvolta ,KD012,KS107,#na,PCS,118000,160000,30,0,0,0,,,,
FUNC142,Node MCU ESP8266 AMICA CP2102,HwThinker,KD012,KS107,#NA ,pcs,48900,88000,100,0,0,0,M5-8,,,2019-09-13 09:57:52
HT001,Heatsink TO-220 Black 20mmx15mmx10mm,Eltech,KD031,KS003,#NA,pcs,1930,3500,1,0,0,0,K6-24,D4-1,,
HT002,Heatsink TO-220 Size 19mmx15mmx12mm,Novatech,KD031,KS003,#NA,pcs,1700,4500,3,3,0,3,K6-25,D4-1,,2019-08-15 07:43:52
HT003,Heatsink TO-220 Silver 20mmx15mmx10mm,Eltech,KD031,KS003,#NA,pcs,1000,3500,4,1,0,1,K7-1,D4-1,,2019-08-15 07:43:52
HT004,Heatsink TO-3P/TO-247 Heatsink,Eltech,KD031,KS003,#NA,pcs,4400,6500,10,0,0,0,K7-2,D4-1,,
ICAD01001,PCF8591P,Novatech,KD013,KS139,DIP-16,pcs,5804,15000,1.5,26,0,26,A1-1,F3-5,,
ICAD01002,ICL7107CPLZ,Novatech,KD013,KS139,DIP-40,pcs,5707,19000,10,2,27,29,A1-2,F3-5,,2019-03-30 06:59:28
ICAD01003,ICL7109,Novatech,KD013,KS139,DIP-40,pcs,13314,55000,10,15,19,34,A1-3,F3-5,,2019-04-25 09:08:55
ICAD01004,ADC0809,Novatech,KD013,KS139,DIP-28 Lebar,pcs,16642,30000,4,0,0,0,A1-4,F3-5,,
ICAD01005,DAC0808,Novatech,KD013,KS139,DIP-16,pcs,5113,15000,1,0,0,0,A1-5,F3-5,,
ICAD01006,ADC0804,Novatech,KD013,KS139,DIP-20,pcs,21653,32500,1.6,0,0,0,A1-6,F3-5,,2019-05-04 06:56:17
ICAD01007,ICL7106,Novatech,KD013,KS139,DIP-40,pcs,5547,11500,7,8,27,35,A1-7,F3-5,,2019-02-20 03:46:24
ICAD02001,PCF8591T,Novatech,KD013,KS139,SOP-16 Lebar,pcs,5608,15000,1.5,25,0,25,A1-8,F3-5,,
ICAU01001,PT2399 DIP-16,Novatech,KD013,KS140,DIP-16,pcs,1759,4000,1,0,0,0,A1-9,F3-5,,
ICAU01002,LM386 DIP-8,Novatech,KD013,KS140,DIP-8,pcs,485,2200,1.5,0,0,0,A1-10,F3-5,,
ICAU01003,LM833 DIP-8,Novatech,KD013,KS140,DIP-8,pcs,970,3500,1.5,10,0,10,A1-11,F3-5,,2019-05-09 05:35:06
ICAU01004,JRC4580 DIP-8,Novatech,KD013,KS140,DIP-8,pcs,1841,10000,1,0,0,0,A1-12,F3-5,,
ICAU01005,TEA6422 DIP-28,Novatech,KD013,KS140,DIP-28,pcs,23050,50000,1.2,43,0,43,A1-13,F3-5,,
ICAU01006,TDA2030A Pentawatt,Novatech,KD013,KS140,#NA,pcs,1066,4000,2,31,0,31,A1-14,F3-5,,
ICAU01007,TDA2050V Pentawatt,Novatech,KD013,KS140,#NA,pcs,1163,9500,2,29,0,29,A1-15,F3-5,,2019-03-30 06:07:44
ICAU01008,TDA7294V Multiwatt15V,Novatech,KD013,KS140,Multiwatt15V,pcs,11093,25000,6,10,25,35,A1-16,F3-5,,2019-07-02 07:14:14
ICAU01009,TDA7295V Multiwatt15V,Novatech,KD013,KS140,Multiwatt15V,pcs,9124,17500,6,18,0,18,A1-17,F3-5,,2019-01-17 08:44:28
ICAU01010,LM1875 ORI National,Novatech,KD013,KS140,TO-220,pcs,10663,18000,2,0,50,50,A1-18,F3-5,,2019-02-20 03:47:14
ICAU01011,LM3886T,Novatech,KD013,KS140,Multiwatt 15,pcs,37326,60000,6,7,24,31,A1-19,F3-5,,2019-03-26 10:33:10
ICAU01012,CA3080A,Novatech,KD013,KS140,DIP-8,pcs,12099,29500,1,43,0,43,A1-20,F3-5,,2019-04-25 09:04:59
ICAU01013,OPA2134,Novatech,KD013,KS140,DIP-8,pcs,8104,25000,1,10,0,10,A1-21,F3-5,,2019-03-28 09:45:38
ICAU01014,MJE350 Original,Novatech,KD013,KS140,TO-126,pcs,4099,10000,9,10,0,10,A1-22,F4-2,,
ICAU01015,MJE340 Original,Novatech,KD013,KS140,TO-126,pcs,4099,10000,9,0,0,0,A1-23,F4-2,,
ICAU01016,2SA1837 Original,Novatech,KD013,KS140,TO-220-3,pcs,6832,12000,9,0,0,0,A1-24,F4-2,,
ICAU01017,2SC4793 Original,Novatech,KD013,KS140,TO-220-3,pcs,6832,12000,9,0,0,0,A1-25,F4-2,,
ICAU01018,MJ15004 KW,Novatech,KD013,KS140,TO-3 Kaleng,pcs,6965,20000,9,10,5,15,A2-1,F4-2,,
ICAU01019,MJ15003 KW,Novatech,KD013,KS140,TO-3 Kaleng,pcs,6965,20000,9,6,0,6,A2-2,F4-2,,2019-02-22 07:14:11
ICAU01020,2SC3858 Original,Novatech,KD013,KS140,#NA,pcs,32794,60000,9,6,10,16,A2-3,F4-2,,
ICAU01021,2SA1494 Original,Novatech,KD013,KS140,#NA,pcs,32794,60000,9,9,10,19,A2-4,F4-2,,
